unit_id,name,state,disclosure_score,gradeable,letter,earnings_10_yrs_after_entry_median,earnings_10_yrs_after_entry_median_disputed,completion_completion_rate_4yr_150nt,completion_completion_rate_4yr_150nt_disputed,admissions_admission_rate_overall,admissions_admission_rate_overall_disputed,aid_median_debt_completers_overall,aid_median_debt_completers_overall_disputed,cost_tuition_in_state,cost_tuition_in_state_disputed,student_size,student_size_disputed
100654,Alabama A & M University,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
100663,University of Alabama at Birmingham,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
100690,Amridge University,AL,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
100706,University of Alabama in Huntsville,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
100724,Alabama State University,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
100751,The University of Alabama,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
100760,Central Alabama Community College,AL,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
100812,Athens State University,AL,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
100830,Auburn University at Montgomery,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
100858,Auburn University,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
101028,Chattahoochee Valley Community College,AL,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
101116,South University-Montgomery,AL,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
101143,Enterprise State Community College,AL,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
101161,Coastal Alabama Community College,AL,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
101189,Faulkner University,AL,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
101240,Gadsden State Community College,AL,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
101277,New Beginning College of Cosmetology,AL,0.285714,true,F,missing,false,missing,false,missing,false,reported,false,missing,false,reported,false
101286,George C Wallace Community College-Dothan,AL,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
101295,George C Wallace State Community College-Hanceville,AL,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
